group_id	evidence_class	candidate_destination	review_state	rationale	occurrences	source_contents	terms	locations	text
HILF-001	SCOPE_TERM	Human Interface	RETAIN	Repeated Branch V/kernel vocabulary declaration.	3	3	dialect	./BOOTSTRAP/Branches/BST-B5-HUI_Human_Interface_v0.1.0.md:213 | ./BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md:389 | ./evidence/Branch V - Human Interface - Computational Bedrock.md:1012	- dialect;
HILF-002	STRUCTURAL_LABEL	Governance; Research	RETAIN_OUTSIDE_HI_CORE	Heading or organizational label, not a populated language model.	2	2	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:1846 | ./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:20943	# Foundational Maxim
HILF-003	TECHNICAL_FALSE_POSITIVE	Exclude	EXCLUDE	SQL dialect is unrelated to human linguistic adaptation.	2	2	dialect	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt:24450 | ./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt:24450	Different SQL dialects.
HILF-004	STRUCTURAL_LABEL	Governance	RETAIN_OUTSIDE_HI_CORE	Repeated label without substantive content in the matched line.	2	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:19946 | ./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:20476	Foundational Maxim
HILF-005	MAXIM_CANDIDATE	Governance	CONTEXT_REQUIRED	Underlying maxim is not contained in the matched sentence.	2	2	maxim	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt:11359 | ./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt:11359	I think that's the maxim that sits beneath everything else.
HILF-006	RELATIONAL_CLAIM	Governance; Operations	CONTEXT_REQUIRED	Claims aphorisms are connected but does not identify them.	2	2	aphorism	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt:23460 | ./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt:23460	They aren't independent aphorisms.
HILF-007	RELATIONAL_CLAIM	Governance; Operations	CONTEXT_REQUIRED	Claims aphorisms are connected but does not identify them.	2	2	aphorism	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt:11754 | ./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt:11754	Those are not separate aphorisms.
HILF-008	ARCHITECTURAL_TEMPLATE_CANDIDATE	Governance; Research	RETAIN_OUTSIDE_HI_CORE	Proposes a reusable constitutional organization pattern.	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:1862	- **Constitution → Articles → Standing Principles → Maxim** is a clean organizational pattern that could become a reusable constitutional template.
HILF-009	SCOPE_TERM	Human Interface	RETAIN	Explicit colloquialism scope declaration.	1	1	colloquialism	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:3048	- colloquialisms
HILF-010	STRUCTURAL_LABEL	Governance; Research	RETAIN_OUTSIDE_HI_CORE	Label only.	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:2416	- Foundational Maxim
HILF-011	SCOPE_TERM	Human Interface	RETAIN	Explicit regional-dialect scope declaration.	1	1	dialect	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:3047	- regional dialects when appropriate
HILF-012	SCOPE_TERM	Human Interface	RETAIN	Explicit regional-language scope declaration.	1	1	regional_language	./workspace/operational/ingestion/output/ING-20260804-0095/source/Constitutional_Kernel_Load.md.txt:2793	- regional language;
HILF-013	MAXIM_CANDIDATE	Governance	CONTEXT_REQUIRED	Introduces a maxim but does not contain its text.	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:21089	And if I may be permitted one tiny constitutional flourish—because you've gotten me thinking in constitutions now—I would add a single maxim beneath the Foundational Maxim:
HILF-014	LINGUISTIC_MODEL_TERM	Research; Human Interface	RETAIN	Conversational maxims are inferential language models.	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:9963	conversational maxims
HILF-015	SCOPE_TERM	Human Interface	CONTEXT_REQUIRED	Bare token; intended scope requires surrounding context.	1	1	dialect	./workspace/operational/ingestion/output/ING-20260804-0081/source/Bootstrap_BABBAGE_Initialization.md.txt:247	dialect
HILF-016	COMPOSITE_REQUIREMENT	Human Interface; Research; Education; Scheduling	RETAIN	Substantive recovery of recipient-fit language, inference models, activities, schedules, publications, and pane differentiation.	1	1	parable	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:9866	"Eventually we settled on incorporating the com-b and fogg behavioral models, assessments (obviously not clinical and wouldn't claim it) for ADHD, autism, mood disorders, other behavioral disorders, Meyers Briggs, the ""big 5"" behavioral models, cognitive tests, and even whatever narcissistic, empathetic, and all the stuff in between constitute in our era of willful ignorance. I don't mean that in a bad way, but some folks put a lot of weight on that stuff. Enough to lock them in judgement that's hard to overcome -- shits almost like astrology and horoscopes now. Other stuff in my head. You'll see some narrative files.. those are telling a story (type, genre - mutable) of the journey that started out for Rowan, but grew so large in scope it's now for everyone. Each story, depending on age, could tell someone else's story. We also worked in common phrases, axioms, inferences, other linguistic models, parables, fables..dealing in what's not said more than said. Also analog activities for 1-(n) people consisting of mindfulness, focus, and eventually, hopefully, enough methods of self regulation from a VERY tailored process resulting from the engine. Custom schedules, nutrition plan. You name it. I did see a gpt that generates coloring books. I'd fuckin LOVE THAT. Also, depending on the recipient, the tone and vocabulary of the output or publication changes. Clinicians reports are for clinicians. Teachers for the classroom, maybe with an observation and intervention attempts and results. Never condescending, but not cheesy or rife with toxic positivity. That's not honest and I won't have the machine facilitate heads in sand. Don't have to be mean. Just gentle, painfully honest, and understanding. I'm sure there's more I'm forgetting. Teacher panel, mom panel, etc. I needed to get all that back in the mix."
HILF-017	DESIGN_APHORISM_CANDIDATE	Governance; Operations	RETAIN_OUTSIDE_HI_CORE	Proposes memorable design principles for ADE.	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:16186	I think ADE should eventually have its own design aphorisms. Short, memorable statements that capture its philosophy. We've already coined several almost by accident:
HILF-018	RECIPIENT_ADAPTATION_REQUIREMENT	Human Interface	RETAIN	Substantive operator learning, regional vernacular, rapport, trust, multilingual, and field-interface requirement.	1	1	regional_language,vernacular	./workspace/operational/ingestion/output/ING-20260804-0081/source/Bootstrap_BABBAGE_Initialization.md.txt:107	"Learns operators. Likes dislikes, hates, loves, ambivalent.. regional data, weather, news, scraped neighborhood type apps if possible. Speaks to you, hopefully so smoothly you don't notice, in regional vernacular. Boston. Pane already knows what, ""kid, jawn"", other stuff means. Would never use it until much later; after trust. After rapport. Different languages. Field Research/Investigation: Scan the room - video starts, flashlight, known databases of investigative methods - plus operator knowledge."
HILF-019	OPERATIONAL_SEMANTICS_CLAIM	Governance; Human Interface	RETAIN	Declares project language operational rather than decorative.	1	1	colloquialism	./workspace/operational/ingestion/output/ING-20260804-0095/source/Constitutional_Kernel_Load.md.txt:3506	None of the things you presume to be metaphors, colloquialisms, or passing sayings are that. They're operational.
HILF-020	APHORISM_REFERENCE	Governance; Operations	CONTEXT_REQUIRED	Introduces an engineering aphorism without containing it.	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0089/source/File_Library_Access_Details.md.txt:4214	One of my favorite engineering aphorisms is:
HILF-021	SCOPE_TERM	Research; Human Interface	CONTEXT_REQUIRED	Bare parables token; intended role requires context.	1	1	parable	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:9946	parables
HILF-022	HUMAN_INTERFACE_REQUIREMENT	Human Interface	RETAIN	Substantive requirement for rapport, dialect restraint, class awareness, accessible publication, and longitudinal learning.	1	1	colloquialism,dialect	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:2947	Rapport with epistemic responsibility. Modern conventions, colloquialisms, dialects (danger zone, but can still be used spatanly enough to establish trust and rapport under constitutional laws), real world, class conscious, understanding of any provided information like fiduciary or transportation limitations. Stuff like that. Responsible for writing the final version of anything related to the information transfer from machine to people. The actual written or spoken interface.. one day. Documentation meant for people layed out concisely but approachable. And I think engaging and interesting enough to want to know the story. And by knowing the story.. one might accidentally learn some things longitudinally.
HILF-023	RELATIONAL_CLAIM	Governance; Operations	CONTEXT_REQUIRED	Claims structural connection but does not identify the aphorisms.	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0089/source/File_Library_Access_Details.md.txt:3947	Those aren't isolated aphorisms. They're structurally connected.
HILF-024	DECISION_HEURISTIC_CLAIM	Governance; Operations	RETAIN_OUTSIDE_HI_CORE	Defines aphorisms as operational decision shortcuts.	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:16195	Those aren't just nice sayings. They're decision shortcuts. When you're unsure about a change, a good aphorism often answers the question faster than rereading a policy.
HILF-025	SCOPE_TERM	Human Interface	RETAIN	Explicit colloquial-language scope declaration.	1	1	colloquial	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:4119	• colloquial language
HILF-026	SCOPE_TERM	Human Interface	RETAIN	Explicit regional-dialect scope declaration.	1	1	dialect,regional_language	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:4120	• regional dialect
